Title,Source,Content
Cut cards from the back,Martin Gonzalvez,"Cut duplex card sheets from the back, if fronts and backs are misaligned it won't be obvious from the card backs and the cards will still be playable."
Laminate twice,Martin Gonzalvez,"If your laminated PnP cards are splitting open at the edges, consider passing them through the laminator a second time."
Use a higher heat setting,Martin Gonzalvez,"If your cards are delaminating at the 3mil heat setting, try passing them through at the 5mil heat setting on your laminator."
Rotary cutter + metal blade,Manu Villarroya,"Rotary cutter + metal blade. Highly precise cuts once you get it. A bit muscle-taxing, however, if you use thick laminated paper!"
Ink tank printers,Manu Villarroya,"Ink tank printers can work wonders: my Canon Pixma has printed A LOT, with high quality, and still has half ink left over!"
Learn a design tool,Manu Villarroya,"Inkscape (and other free design tools) is your friend. Learn a program, and the quality of your designs will increase substantially. "
Sleeve laminated cards,Manu Villarroya,"Laminating and corner-rounding a card, and then sleeving it, will get you a premium feeling. The thickness of a pnp'd laminated card in ~140 mg paper is just right."
Get an ink tank printer,Daniel Männikkö,Get an ink tank printer. It's more expensive up front but cheaper in the long run.
Use coin capsules for circle tokens,Martin Gonzalvez,Punch out 1-inch circle tokens and place them inside 25mm plastic coin capsules for easy yet deluxe circle tokens.
Peeling off sticker backs,Sarah Haag,Sometimes using another scrap piece of sticker on the back of the first will peel the backing off.
Just do it,Lara Matiisen,"Don't overthink. I spent so long early on wanting to have the smoothest process, finding the ""perfect"" way to craft, that I often just never started."
Experiment,Lara Matiisen,Don't be afraid to try different techniques and experiment to find what works for you.
Play test first,Colette Haley,"Play test a game first to see if you like it before fully investing time and money into crafting a ""forever copy""."
Start small,Rob Beachler,Start small with your first project so you can get a handle on how to do things. Work up to larger projects if you have any in mind.
Choose your cutter,Edward Bell,Find what cutting method works for you (mine is a guillotine cutter) and use it.
Paper and card sleeves,Edward Bell,200+gsm paper and card sleeves are a great way to start.
Eco-tank printer,Darin Herrick,"Buy an eco-tank inkjet printer, and print frequently so the nozzles don't clog."
Test print,Darin Herrick,Test Print One Page before printing out 300.
Don't rush,Darin Herrick,"TAKE YOUR TIME, don't rush."
Digital rules,Darin Herrick,"If you like digital copies of rules, get a comics app for your tablet and copy the rules PDF to the tablet instead of printing it out."
Card backing,Darin Herrick,Use construction paper or print card backs to make cards less flimsy.
Thicker tokens,Darin Herrick,Use coin protectors or glue onto pennies to make circular tokens.
Explore your creativity,Darin Herrick,"You can create whatever you want. Create your own game, modify a game you already own, create something like a game that already exists from scratch. The only limit is your imagination."
Practice first,Darin Herrick,You don't have to do a full board game on your first try. Create some extra pieces or cards for a game you already know with some fan expansions or offical PNP extra components so you can practice.
Half full printer tray,Yuri Verweij,"Make sure your paper drawer is at least half full, this really makes a difference when printing (manual) duplex"
Edit PDFs,Yuri Verweij,"Affinity (software, free version) is capable of editiing PDF files. For example, to remove cut lines or extract images."
Dry erase pocket sleeves,Yuri Verweij,You don't need to laminate all your Roll and Writes. There exist Dry Erase Pocket Sleeves that can hold your paper and make it reusable.
Reuse old boxes,Yuri Verweij,reuse old boxes for storing pnp games. You can print on full page label paper to cover the full box and make it look amazing. Add a layer of cold laminate over it to make it even better.
Don't cut to the edge,Barny Skinner,"Don't cut to the edge of the sheet, to keep the crop marks in place."
Use permanent markers,Doc Viglietti,Using permanent markers on matte laminated roll and write sheets requires tedious alcohol wiping to clean between games.Try wet-erase markers on matte laminate and rinse the sheets easily under running water!
Start small and simple,Katie Duggan,"Start with a small game. It can be an 18 card game like Rove, Mini Rogue, or Galdor’s Grip. Just use printer paper and a deck of playing cards. Packing tape the front and backs. That way you don’t have to fuss about the fronts and backs aligning properly."
